anio,sede,cant_tribunales
2017,AZUL,
2017,AZUL Sede OLAVARRIA,
2017,AZUL Sede TANDIL,
2017,BAHIA BLANCA,
2017,BAHIA BLANCA Sede TRES ARROYOS,
2017,DOLORES,
2017,JUNIN,
2017,LA MATANZA,
2017,LA PLATA,
2017,LOMAS DE ZAMORA,
2017,LOMAS DE ZAMORA Sede AVELLANEDA,
2017,LOMAS DE ZAMORA Sede LANUS,
2017,MAR DEL PLATA,
2017,MERCEDES,
2017,MERCEDES Sede BRAGADO,
2017,MORENO-GRAL.RODRIGUEZ,
2017,MORON,
2017,NECOCHEA,
2017,PERGAMINO,
2017,QUILMES,
2017,QUILMES Sede FLORENCIO VARELA,
2017,SAN ISIDRO,
2017,SAN ISIDRO Sede PILAR,
2017,SAN MARTIN,
2017,SAN MARTIN Sede SAN MIGUEL,
2017,SAN NICOLAS,
2017,TRENQUE LAUQUEN,
2017,ZARATE-CAMPANA Sede CAMPANA,
2017,ZARATE-CAMPANA Sede ZARATE,
2018,AZUL,
2018,AZUL Sede OLAVARRIA,
2018,AZUL Sede TANDIL,
2018,BAHIA BLANCA,
2018,BAHIA BLANCA Sede TRES ARROYOS,
2018,DOLORES,
2018,JUNIN,
2018,LA MATANZA,
2018,LA PLATA,
2018,LOMAS DE ZAMORA,
2018,LOMAS DE ZAMORA Sede AVELLANEDA,
2018,LOMAS DE ZAMORA Sede LANUS,
2018,MAR DEL PLATA,
2018,MERCEDES,
2018,MERCEDES Sede BRAGADO,
2018,MORENO-GRAL.RODRIGUEZ,
2018,MORON,
2018,NECOCHEA,
2018,PERGAMINO,
2018,QUILMES,
2018,QUILMES Sede FLORENCIO VARELA,
2018,SAN ISIDRO,
2018,SAN ISIDRO Sede PILAR,
2018,SAN MARTIN,
2018,SAN MARTIN Sede SAN MIGUEL,
2018,SAN NICOLAS,
2018,TRENQUE LAUQUEN,
2018,ZARATE-CAMPANA Sede CAMPANA,
2018,ZARATE-CAMPANA Sede ZARATE,
2019,AZUL,
2019,AZUL Sede OLAVARRIA,
2019,AZUL Sede TANDIL,
2019,BAHIA BLANCA,
2019,BAHIA BLANCA Sede TRES ARROYOS,
2019,DOLORES,
2019,JUNIN,
2019,LA MATANZA,
2019,LA PLATA,
2019,LOMAS DE ZAMORA,
2019,LOMAS DE ZAMORA Sede AVELLANEDA,
2019,LOMAS DE ZAMORA Sede LANUS,
2019,MAR DEL PLATA,
2019,MERCEDES,
2019,MERCEDES Sede BRAGADO,
2019,MORENO-GRAL.RODRIGUEZ,
2019,MORON,
2019,NECOCHEA,
2019,PERGAMINO,
2019,QUILMES,
2019,QUILMES Sede FLORENCIO VARELA,
2019,SAN ISIDRO,
2019,SAN ISIDRO Sede PILAR,
2019,SAN MARTIN,
2019,SAN MARTIN Sede SAN MIGUEL,
2019,SAN NICOLAS,
2019,TRENQUE LAUQUEN,
2019,ZARATE-CAMPANA,
2020,AVELLANEDA-LANUS,
2020,AZUL,
2020,AZUL Sede OLAVARRIA,
2020,AZUL Sede TANDIL,
2020,BAHIA BLANCA,
2020,BAHIA BLANCA Sede TRES ARROYOS,
2020,DOLORES,
2020,JUNIN,
2020,LA MATANZA,
2020,LA PLATA,
2020,LOMAS DE ZAMORA,
2020,LOMAS DE ZAMORA Sede AVELLANEDA,
2020,LOMAS DE ZAMORA Sede LANUS,
2020,MAR DEL PLATA,
2020,MERCEDES,
2020,MERCEDES Sede BRAGADO,
2020,MORENO-GRAL.RODRIGUEZ,
2020,MORON,
2020,NECOCHEA,
2020,PERGAMINO,
2020,QUILMES,
2020,QUILMES Sede FLORENCIO VARELA,
2020,SAN ISIDRO,
2020,SAN ISIDRO Sede PILAR,
2020,SAN MARTIN,
2020,SAN MARTIN Sede SAN MIGUEL,
2020,SAN NICOLAS,
2020,TRENQUE LAUQUEN,
2020,ZARATE-CAMPANA,
2021,AVELLANEDA-LANUS,6
2021,AZUL,1
2021,AZUL Sede OLAVARRIA,1
2021,AZUL Sede TANDIL,1
2021,BAHIA BLANCA,2
2021,BAHIA BLANCA Sede TRES ARROYOS,1
2021,DOLORES,2
2021,JUNIN,1
2021,JUNIN Sede CHACABUCO,1
2021,LA MATANZA,5
2021,LA PLATA,5
2021,LOMAS DE ZAMORA,5
2021,MAR DEL PLATA,4
2021,MERCEDES,1
2021,MERCEDES Sede BRAGADO,1
2021,MORENO-GRAL.RODRIGUEZ,1
2021,MORON,5
2021,NECOCHEA,1
2021,PERGAMINO,1
2021,QUILMES,5
2021,QUILMES Sede FLORENCIO VARELA,1
2021,SAN ISIDRO,6
2021,SAN ISIDRO Sede PILAR,1
2021,SAN MARTIN,5
2021,SAN MARTIN Sede SAN MIGUEL,2
2021,SAN NICOLAS,3
2021,TRENQUE LAUQUEN,1
2021,ZARATE-CAMPANA,3
2022,AVELLANEDA-LANUS,6
2022,AZUL,1
2022,AZUL Sede OLAVARRIA,1
2022,AZUL Sede TANDIL,1
2022,BAHIA BLANCA,2
2022,BAHIA BLANCA Sede TRES ARROYOS,1
2022,DOLORES,2
2022,JUNIN,1
2022,JUNIN Sede CHACABUCO,1
2022,LA MATANZA,5
2022,LA PLATA,5
2022,LOMAS DE ZAMORA,5
2022,MAR DEL PLATA,5
2022,MERCEDES,1
2022,MERCEDES Sede BRAGADO,1
2022,MORENO-GRAL.RODRIGUEZ,1
2022,MORON,5
2022,NECOCHEA,1
2022,PERGAMINO,1
2022,QUILMES,5
2022,QUILMES Sede FLORENCIO VARELA,1
2022,SAN ISIDRO,6
2022,SAN ISIDRO Sede PILAR,1
2022,SAN MARTIN,5
2022,SAN MARTIN Sede SAN MIGUEL,2
2022,SAN NICOLAS,3
2022,TRENQUE LAUQUEN,1
2022,ZARATE-CAMPANA,3
2023,AVELLANEDA-LANUS,6
2023,AZUL,1
2023,AZUL Sede OLAVARRIA,1
2023,AZUL Sede TANDIL,1
2023,BAHIA BLANCA,2
2023,BAHIA BLANCA Sede TRES ARROYOS,1
2023,DOLORES,2
2023,JUNIN,1
2023,JUNIN Sede CHACABUCO,1
2023,LA MATANZA,5
2023,LA PLATA,5
2023,LOMAS DE ZAMORA,5
2023,MAR DEL PLATA,5
2023,MERCEDES,1
2023,MERCEDES Sede BRAGADO,1
2023,MORENO-GRAL.RODRIGUEZ,1
2023,MORON,5
2023,NECOCHEA,1
2023,PERGAMINO,1
2023,QUILMES,5
2023,QUILMES Sede FLORENCIO VARELA,1
2023,SAN ISIDRO,6
2023,SAN ISIDRO Sede PILAR,1
2023,SAN MARTIN,5
2023,SAN MARTIN Sede SAN MIGUEL,2
2023,SAN NICOLAS,3
2023,TRENQUE LAUQUEN,1
2023,ZARATE-CAMPANA,3
2024,AVELLANEDA-LANUS,6
2024,AZUL,1
2024,AZUL Sede OLAVARRIA,1
2024,AZUL Sede TANDIL,1
2024,BAHIA BLANCA,2
2024,BAHIA BLANCA Sede TRES ARROYOS,1
2024,DOLORES,2
2024,JUNIN,1
2024,JUNIN Sede CHACABUCO,1
2024,LA MATANZA,5
2024,LA PLATA,5
2024,LOMAS DE ZAMORA,5
2024,MAR DEL PLATA,5
2024,MERCEDES,1
2024,MERCEDES Sede BRAGADO,1
2024,MORENO-GRAL.RODRIGUEZ,1
2024,MORON,5
2024,NECOCHEA,1
2024,PERGAMINO,1
2024,QUILMES,5
2024,QUILMES Sede FLORENCIO VARELA,1
2024,SAN ISIDRO,6
2024,SAN ISIDRO Sede PILAR,1
2024,SAN MARTIN,5
2024,SAN MARTIN Sede SAN MIGUEL,2
2024,SAN NICOLAS,3
2024,TRENQUE LAUQUEN,1
2024,ZARATE-CAMPANA,3
2025,AVELLANEDA-LANUS,6
2025,AZUL,1
2025,AZUL Sede OLAVARRIA,1
2025,AZUL Sede TANDIL,1
2025,BAHIA BLANCA,2
2025,BAHIA BLANCA Sede TRES ARROYOS,1
2025,DOLORES,2
2025,JUNIN,1
2025,JUNIN Sede CHACABUCO,1
2025,LA MATANZA,5
2025,LA PLATA,5
2025,LOMAS DE ZAMORA,5
2025,MAR DEL PLATA,5
2025,MERCEDES,1
2025,MERCEDES Sede BRAGADO,1
2025,MORENO-GRAL.RODRIGUEZ,1
2025,MORON,5
2025,NECOCHEA,1
2025,PERGAMINO,1
2025,QUILMES,5
2025,QUILMES Sede FLORENCIO VARELA,1
2025,SAN ISIDRO,6
2025,SAN ISIDRO Sede PILAR,1
2025,SAN MARTIN,5
2025,SAN MARTIN Sede SAN MIGUEL,2
2025,SAN NICOLAS,3
2025,TRENQUE LAUQUEN,1
2025,ZARATE-CAMPANA,3
